"photo","name","cuisine","address","averagePrice","ratingValue","reviewCount","url","offer","tags/0","tags/1","tags/2","tags/3","tags/4","tags/5","tags/6","tags/7"
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/00f5cb0f-29e2-4e65-ad4f-404c940447f3/ae24149a-031c-4e78-9049-3847c04981d2.jpg","Market Kitchen","International","Estrada da Galé,8200,Albufeira","30","8.7","55","https://www.thefork.com/restaurant/market-kitchen-r730516",,"International",,,,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/dd012bc3-3437-49b7-8676-effd2344932e/cd381e28-cf36-4ee7-9b6d-c9f33684e894.jpg","Mother India","Indian","Av. dos Descobrimentos,8200,Albufeira","13","8.7","200","https://www.thefork.com/restaurant/mother-india-r405433",,"Indian",,,,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/73488713-da64-4e1c-90b7-3cdb2089890d/328da0af-f595-4063-870a-3f9c176605c0.jpg","Gaucho - Sloane Square","Steakhouse","89 Sloane Avenue,SW3 3DX,London","27","9.1","130","https://www.thefork.com/restaurant/gaucho-sloane-square-r602967","TheFork Summer - Exclusive Menu £45","YUMS x2","Steakhouse","Accepting my yums",,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/45983501-77c1-4cab-b97b-cb5644d1fbe4/3428e1dd-7568-431b-b50b-ae0d8c500d4e.jpg","Memórias","Traditional cuisine","R. Miguel Torga,8200-161,Albufeira","25","8.7","323","https://www.thefork.com/restaurant/memorias-r393031",,"Traditional cuisine",,,,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/9bbf94d3-8a69-49c0-9a2f-b8544d1a7fad/884ef786-9c03-4914-aaa0-6bf0f2bb7d02.jpg","Chocho","American","54 Rue de Paradis,75010,Paris","75","9","433","https://www.thefork.com/restaurant/chocho-r713663","Instant MICHELIN €69","MICHELIN","INSIDER","PAY","Gift cards","American","Accepting my yums",,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/a2ffe0b3-fb74-4b57-9b36-9cbf98780571/4e8f8db2-12b8-4b5b-8240-a7b93c8aaf5e.jpg","Wild&Co Steakhouse","Steakhouse","Avenida Sá Carneiro,8200-340,Albufeira","30","9","253","https://www.thefork.com/restaurant/wild-co-steakhouse-r285899",,"Steakhouse","Accepting my yums",,,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/3f10d30b-c5b2-4a52-9948-6beaddf25efd/a6ce79b9-2bae-409f-a1cc-e31d4213803c.jpg","Steakhouse by Real","International","Grande Real Santa Eulália Resort & Hotel SPA,8200-916,Albufeira","27","8.5","48","https://www.thefork.com/restaurant/steakhouse-by-real-r652333",,"International",,,,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/c4659f52-aaa0-4fa0-a126-5fe9eead6ed6/8f680078-9dd3-4bb7-ab22-0a39e80ea6b2.jpg","Restaurante Ribeiros","Portuguese","Estr. de Santa Eulália,8200-269,Albufeira","16","8.5","37","https://www.thefork.com/restaurant/restaurante-ribeiros-r730107",,"Portuguese",,,,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/d528903c-6283-4552-94e3-eb623208c3aa/4fb52a31-5322-4454-b301-d5ad80e5f216.jpg","Maricel","Mediterranean","Passeig de la Ribera, 6, Sitges, Spain,08870,Sitges","60","9","612","https://www.thefork.com/restaurant/maricel-r46537","MICHELIN Special €88","YUMS x2","MICHELIN","INSIDER","Mediterranean","Welcome",,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/ca169140-2276-497a-a637-e8d3576d3a58/05428e5f-7edd-4b8a-915a-5a519f98fa7d.jpg","Hope Tapas Lounge Bar","Mediterranean","Casa Do Lobo 13, Sítio de Santa Eulalia 8200-037 Albufeira,8200,Albufeira","13","8.7","135","https://www.thefork.com/restaurant/hope-tapas-lounge-bar-r695905",,"Mediterranean",,,,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/b7d0f048-9e84-4999-a84c-e79d98355100/f8ef30c6-f2e2-480f-bcdd-e2bcc02c36ca.jpg","QUIMBAYA by Edwin Rodríguez","Colombian","Calle de Zurbano, 63,28010,Madrid","95","9.7","431","https://www.thefork.com/restaurant/quimbaya-by-edwin-rodriguez-r575039","Menú Idiosincrasia. €105","MICHELIN","INSIDER","PAY","Gift cards","Colombian","Welcome",,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/877c059a-6ef4-4cdc-a257-e4cb929af9fc/fecf89c3-2120-4a0d-ac8d-5427e7111817.png","Table Métis - Bistronomie Africaine","Meat Cuisine","40 Rue des Boulets,75011,Paris","60","9.5","511","https://www.thefork.com/restaurant/table-metis-bistronomie-africaine-r407037","50% off the 'a la carte' menu","YUMS x2","INSIDER","PAY","Gift cards","Meat Cuisine",,,
