"photo","name","cuisine","address","averagePrice","ratingValue","reviewCount","url","offer","tags/0","tags/1","tags/2","tags/3","tags/4"
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/21ea6d21-4b5c-4214-94a8-2280d99fbeee/e809368c-3745-4afe-9014-b1894bb26c57.jpg","Gurkha Saldanha","Indian","R. Latino Coelho 46A,1050-137,Lisbon","16","9.2","3096","https://www.thefork.com/restaurant/gurkha-saldanha-r638395","-30% sobre a ementa!","Indian",,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/79fa8d7e-66e9-4667-a607-26cd1a044b30/5570b333-e982-4d46-8f62-da4cc52ea2b2.jpg","Bel Amour","International food","Av. da Liberdade 36C,1250-145,Lisboa","28",,"1","https://www.thefork.com/restaurant/bel-amour-r808026","50% off the 'a la carte' menu","YUMS x2","International food",,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/8431f061-bfe7-44ee-9cba-b4e5042dcdb7/0e8efaaa-df38-4bcb-86fc-09d7143e4e5a.jpg","Água","Mediterranean","R. Rosa Araújo 16,1250-096,Lisboa","28","9.1","977","https://www.thefork.com/restaurant/agua-r203629","-30% sobre a ementa!","Mediterranean",,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/ff98482e-55b8-4544-9285-dd8d1771512e/3872f51e-af55-4383-8154-b22666603efa.jpg","Abacalhoar","Portuguese","R. Ilha dos Amores 62 E,1990-375,Lisboa","14","9.2","1994","https://www.thefork.com/restaurant/abacalhoar-r708107","-30% sobre a ementa!","Portuguese",,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/4435dba4-7e59-48eb-aa9f-d6dbaf27df27/a0536281-1866-4bc9-91c4-ee3987af7cba.jpg","Infame","Portuguese","Largo do Intendente Pina Manique 4,1100-285,Lisboa","25","9.1","2885","https://www.thefork.com/restaurant/infame-r593537","-30% sobre a ementa!","Portuguese",,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/219e5c0e-c613-43e4-993b-494c8bc8b115/72066b3d-34bc-4999-b1d7-dd35239d817d.png","Taberna Londrina Bairro Alto","Portuguese","Rua do Norte - 24,1200-108,Lisboa","17","9.1","1104","https://www.thefork.com/restaurant/taberna-londrina-bairro-alto-r750320","50% off the 'a la carte' menu","Portuguese",,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/79fd861c-5a42-4e4d-a030-7898d2cfe7b4/131397ef-34ce-4924-9ef5-12ef1098b224.jpg","Shun Open Kitchen","Japanese","R. Tomás da Anunciação 171A,1350-054,Lisbon","20","9.1","69","https://www.thefork.com/restaurant/shun-open-kitchen-r625749","50% off the 'a la carte' menu","Japanese",,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/c0eb17d0-92b2-41ca-a298-b7ea909e017c/52166231-82e7-476d-ae14-6472fe5be67c.jpg","Restaurante Elevador ","International","Rua dos Correeiros 204,1100-170,Lisboa","35","9","2784","https://www.thefork.com/restaurant/restaurante-elevador-r64883","Promoção de 30%","International",,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/42a2211f-e206-48c3-bc33-fa3d1df75951/d9c9a339-618d-4fbb-82dd-7942a9dc7116.png","Restaurante Universal","Mediterranean","Av. Dom João II 10,1990-221,Lisboa","35","8.8","159","https://www.thefork.com/restaurant/restaurante-universal-r750047","Menu Executivo - 2a a 6a €24","Mediterranean",,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/395bd5b3-f1d3-47f6-822d-a6cf8436ee7e/2b26e10a-dc32-4574-b3b9-44d2b3893798.jpg","Italian Republic - Bacalhoeiros","Italian","Rua dos Bacalhoeiros 95,1100-389,Lisboa","13","8.9","1572","https://www.thefork.com/restaurant/italian-republic-bacalhoeiros-r700857","-30% sobre a ementa!","Italian",,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/ab1799fa-2d01-4e50-966e-053f00794ba3/be31bb3e-7170-4d26-a570-ac2264e6273e.jpg","Seisan","Japanese","R. da Madalena 271,1100-204,Lisbon","30","9.2","1534","https://www.thefork.com/restaurant/seisan-r728776","50% off the 'a la carte' menu","Japanese",,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/ee0d973c-5fc1-4f3e-9fdf-53e856f008f7/04259907-a58d-4f3a-b765-1ec16c9091d7.jpg","O Nobre - Campo Pequeno","Mediterranean","Av. Sacadura Cabral 53B,1000-080,Lisboa","40","9.5","7580","https://www.thefork.com/restaurant/o-nobre-campo-pequeno-r64393","30% off the 'a la carte' menu","INSIDER","Mediterranean",,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/eab6831c-8b5a-470d-91a0-14123f3f961b/d52e6264-b1dd-4853-824c-a5466067988c.jpg","People","International food","Campo Pequeno 42A,1000-080,Lisboa","25","9.5","6306","https://www.thefork.com/restaurant/people-r201076","30% off the 'a la carte' menu","INSIDER","International food",,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/2c1d26fe-cad8-44f8-bf52-058a0d1ec9c9/a12d7dc9-8b84-450f-a068-c55b4158b76d.jpg","Himchuli","Nepalese","R. do Sacramento a Alcântara 48,1350-278,Lisboa","17","9.3","598","https://www.thefork.com/restaurant/himchuli-r661209","-30% sobre a ementa!","Nepalese",,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/52cf6976-0533-4328-9272-5bd7e8309dd7/71390d94-a0c0-4fbe-8ecf-7acc513345bc.jpg","Lorento Restaurante","Grilled","Rua do Conde de Redondo - 2D,1150-105,Lisboa","15","8","1222","https://www.thefork.com/restaurant/lorento-restaurante-r732341","50% off the 'a la carte' menu","YUMS x2","Grilled",,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/537bf4ff-36df-449a-965f-a806765bddc1/d87c8dc3-0e9b-4f44-9a60-f9867b206621.jpg","SEIS Garrafeira & Petiscos - Wine Bar","Portuguese","Rua do Milagre de Santo António - 6,1100-351,Lisboa","26","8.9","530","https://www.thefork.com/restaurant/seis-garrafeira-petiscos-wine-bar-r732781","-50% sobre a ementa! ","Portuguese",,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/45a0154a-713a-4c97-a637-d472dbbae89a/56970e68-1408-47e2-80c8-54130723299a.jpg","Pizzaria O’ Chessey","Pizzeria","R. Ângela Pinto 40B,1900-069,Lisboa","14","8","97","https://www.thefork.com/restaurant/pizzaria-o-chessey-r756891","50% off the 'a la carte' menu","YUMS x2","Pizzeria",,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/1e181a4e-f0d9-4c40-b6b5-ea5f03f25e48/3f0baf2d-08d9-4d33-b0d9-6cc87c8452da.jpg","Sekai Sushi Bar","Japanese","R. dos Mastros 30,1200-163,Lisboa","17","8.9","1170","https://www.thefork.com/restaurant/sekai-sushi-bar-r656923","-30% sobre a ementa!","Japanese",,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/148f52e0-ca00-45a6-aa72-389c9711f653/7820c5c1-77c3-48e6-baa0-f43ca901b630.jpg","Emblemático","Steakhouse","Rua de S. Paulo 222,1200-430,Lisboa","25","9.4","204","https://www.thefork.com/restaurant/emblematico-r755149","30% off the 'a la carte' menu","Steakhouse",,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/5ee438bb-ff51-469b-a37d-4cef0aba3c5d/82e7114a-a203-4b5e-874c-da8be82458c6.jpg","Beher Lisboa","Spanish","Rua da Prata - 249,1100-416,Lisboa","18","8.8","284","https://www.thefork.com/restaurant/beher-lisboa-r477041",,"YUMS x2","Spanish",,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/faded778-9398-477c-8eea-835c3bb4fc5d/115fa6ae-df42-4260-89e9-12f8112582cd.jpg","Taqueria das Avenidas","Mexican","Avenida Conde de Valbom - 111,1050-067,Lisboa","15","8.7","2018","https://www.thefork.com/restaurant/taqueria-das-avenidas-r714707","-30% sobre a ementa!","Mexican",,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/8aa609cb-d0df-42c6-ba38-27800ec2f1cd/3986d6c0-378b-4da6-99b5-2264ae2e1f75.jpg","Casa Graviola","Brazilian","Rua da Boavista - 66,1200-262,Lisboa","18","9.1","1030","https://www.thefork.com/restaurant/casa-graviola-r742465","40% off the 'a la carte' menu","Brazilian",,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/eb1760d2-d5cc-46c3-8465-8f01f3def0ff/7ba9e00c-28a5-4912-bf4b-f7eaca0e051b.jpg","Boca Linda","Mexican","Calçada Marquês Abrantes 92,1200-808,Lisboa","15","9.1","453","https://www.thefork.com/restaurant/boca-linda-r742172",,"YUMS x2","Mexican",,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/3f5b359a-48c3-4de2-b058-974768be225f/94c9d0c7-a87c-495b-834f-32dd2a373e83.jpg","Akla Restaurante","Mediterranean","R. Castilho 149,1099-034,Lisboa","35","9.4","2209","https://www.thefork.com/restaurant/akla-restaurante-r211393","30% off the 'a la carte' menu","Mediterranean",,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/f6500ce4-a713-4785-93e0-9e5908962684/ad5c66a5-7e6f-48bb-8c9a-9b8db1c02baa.jpg","IIImpar","Steakhouse","R. Nova de São Mamede, 23/25,1250-172,Lisboa","25","9.1","3299","https://www.thefork.com/restaurant/iiimpar-r306873","30% off the 'a la carte' menu","YUMS x2","Steakhouse",,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/c1cf0f2c-f797-4b5e-85be-9cf484c6c6a2/4343260f-5f1e-4101-b514-b5dcc141e0e0.jpg","Downunder by Justin Jennings","International","R. dos Industriais 21,1200-109,Lisbon","26","9.5","3089","https://www.thefork.com/restaurant/downunder-by-justin-jennings-r299447","30% off the 'a la carte' menu","INSIDER","International",,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/61e7c703-5d37-406b-bf1e-9cfa47688ef5/27a785b8-3efe-4e6c-bb25-6b2f10f748db.jpg","Café no Chiado","Portuguese","Largo Picadeiro 10 a 12,1200-330,Lisboa","30","9.1","7324","https://www.thefork.com/restaurant/cafe-no-chiado-r64398","50% off the 'a la carte' menu","Portuguese",,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/1408d22a-7790-40fa-bc04-e96875a63941/21f71991-e08b-4b0c-9ca6-427815b2ffba.jpg","Nachos Mexican Food","Mexican","Tv. Inglesinhos 34,1200-011,Lisboa","15","9.1","56","https://www.thefork.com/restaurant/nachos-mexican-food-r806291","50% off the 'a la carte' menu","Mexican",,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/aec47e4f-239d-4102-aeec-5f98d8e75c37/a8a87662-f742-4410-b7d5-3f9276ad3bc9.jpg","Al Forno Lisboa","Pizzeria","Rua Ricardo Jorge - 19,1700-326,Lisboa","14","8.7","1190","https://www.thefork.com/restaurant/al-forno-lisboa-r390089","-30% sobre a ementa!","Pizzeria",,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/bcdfb4ee-6878-44f6-9351-a40375fa3325/19b12b53-4a3c-41d1-a77c-e87bc8780188.jpg","Loucos de Lisboa na Graça","Portuguese","Escolas Gerais 7C,1100-213,Lisboa","15","9.2","2445","https://www.thefork.com/restaurant/loucos-de-lisboa-na-graca-r518789","30% off the 'a la carte' menu","Portuguese",,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/dcd10e5e-40af-443e-b7c8-f5af52255a0a/9dfd4b62-72b8-4b53-88ee-d150c383cc1a.jpg","Atalho do Cais (Grupo Atalho)","Meat Cuisine","Rua de S. Paulo 32,1200-428,Lisboa","17","9.2","2643","https://www.thefork.com/restaurant/atalho-do-cais-grupo-atalho-r715156","30% off the 'a la carte' menu","Meat Cuisine",,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/efd9a7e8-61eb-4ae5-98f6-2bd1bef41535/f4326111-0f4a-4d2b-bf33-91fd2f27d7ed.jpg","Cru Lisboa","Asian","Largo Rafael Bordalo Pinheiro 13,1200-445,Lisboa","29","9.2","989","https://www.thefork.com/restaurant/cru-lisboa-r732967","30% off the 'a la carte' menu","Asian",,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/e536b865-6602-4ead-b0d0-eb75887b5e50/1e574e33-a926-42f1-8f7c-bd472fc399cc.jpg","Madpizza Alvalade","Mediterranean","R. José Duro 25A,1700-259,Lisboa","16","9.2","290","https://www.thefork.com/restaurant/madpizza-alvalade-r755114","30% off the 'a la carte' menu","Mediterranean",,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/9b9833f2-6d93-4219-a2a0-4fca093c7da0/2ae79816-4f30-46c2-94eb-3d672a96f1d9.jpg","Taberna do Lis","International","Rua dos Douradores - 146,1100-207,Lisbon","20","9.2","1996","https://www.thefork.com/restaurant/taberna-do-lis-r638561","30% off the 'a la carte' menu","International",,,,
